city county,latitude,longitude,wgr_2017
sejong,36.4803512,127.2894325,12.3
chungcheongbuk-do,36.7853718,127.6551404,3.2
chungcheongnam-do,36.6173379,126.8453965,3.4
daejeon,36.3504396,127.3849508,2.9
daejeon dong-gu,36.312169,127.454884,3.4
daejeon jung-gu,36.3256594,127.4215464,3
daejeon seo-gu,36.355504,127.383844,3.8
daejeon yuseong-gu,36.3623219,127.3562683,5.7
daejeon daedeok-gu,36.346735,127.415502,1.2
cheongju,36.6424987,127.488975,3.4
chungju,36.991105,127.926012,6.1
jecheon,37.132646,128.191037,2.4
boeun-gun,36.489455,127.729485,3.2
okcheon-gun,36.3064369,127.5714191,1.7
yeongdong-gun,36.175047,127.783423,3
jincheon-gun,36.85542,127.435602,6.1
goesan-gun,36.815381,127.786704,3.4
eumseong-gun,36.940282,127.690487,7.4
danyang-gun,36.984539,128.365589,2.5
jeungpyeong-gun,36.785345,127.581507,3.9
cheonan city,36.815147,127.113892,3.2
gongju city,36.446556,127.11904,2.4
boryeong city,36.333452,126.612803,3.2
asan city,36.790013,127.002474,6.5
seosan city,36.7849216,126.4502766,5.8
nonsan city,36.1872399,127.0986227,4
gyeryong city,36.274554,127.248633,4.3
dangjin city,36.8899744,126.6459003,4.8
geumsan-gun,36.108857,127.488213,4.1
buyeo-gun,36.275658,126.909775,0.8
seocheon-gun,36.080286,126.6917418,1.2
cheongyang-gun,36.459151,126.802238,4.7
hongseong-gun,36.601324,126.660775,5.2
yesan-gun,36.6808995,126.8447382,4.6
taean-gun,36.74561,126.297913,3.7
