,latitude,longitude,ahr,sp,ap,pits,pses,hos,ppsp,spfm,wsc,gre,cpp,경제,사회,양극화지수,양극화
계룡시,36.274554,127.248633,4.6,89.8,-32.5,12.7,34.2,86.4,96.5,10,0,-26.2,-5.5,20.6,26,23.3,0
공주시,36.446556,127.11904,29.3,7.8,26.7,25.1,-10.8,91.4,96.5,-3.2,14.7,-16.9,18.2,21.3,26.9,24.1,0
괴산군,36.815381,127.786704,37.3,83.5,38,73.2,57.5,41.4,73.8,6,31.9,2.5,-109.1,52.9,22.1,37.5,0
금산군,36.108857,127.488213,38.7,77.7,19.4,35.5,41.6,84.8,36.9,-22.8,18.4,-14.2,-30.9,45.3,18.7,32,0
논산시,36.1872399,127.0986227,35.1,42.1,27.8,20.8,11.6,94.4,73.8,21.9,15.5,-11.1,27.3,35,31.8,33.4,0
단양군,36.984539,128.365589,37.8,84.4,36.8,43.6,57.7,68.2,-58.2,57.3,23.7,-19.4,-127.3,53,5.7,29.3,0
당진시,36.8899744,126.6459003,15.6,3.3,-45,11.7,25.9,57.1,32.6,4.9,14.9,44,-65.5,-8.7,15.7,3.5,1
대전광역시,36.3504396,127.3849508,20.8,-71.9,-66.4,-2.7,-10.1,20.2,0.7,-5.3,-3,-1.7,21.8,-39.2,2.5,-18.3,1
보령시,36.333452,126.612803,9.8,43.4,11.9,15.4,20.9,35.9,76.6,26,13.3,3.4,54.5,21.7,30.7,26.2,0
보은군,36.489455,127.729485,2.4,86.3,38,51.4,63.9,30.8,23.4,57.3,46.1,-22.3,58.2,42.2,38.6,40.4,0
부여군,36.275658,126.909775,28.4,73.3,19.8,45.4,66.6,67.2,46.8,49.4,15.1,-4.3,5.5,40.5,36.4,38.5,0
서산시,36.7849216,126.4502766,46.7,8.1,-2.3,4.9,31,100,98.6,2,0.6,12.9,12.7,17.5,32.8,25.2,0
서천군,36.080286,126.6917418,43.3,77.9,39.4,37.1,62.5,32.3,36.9,54.6,15.5,-25.9,-343.6,53.5,-16.3,18.6,0
세종특별자치시,36.4803512,127.2894325,16.4,-51.9,-80.7,-2.1,-2.6,90.4,-44,7.6,1.4,25.2,18.2,-38.7,11.8,-13.5,1
아산시,36.790013,127.002474,43,-90.2,15.1,9.3,24.3,44.9,66,-15.4,0,15.6,-140,-10.7,0.6,-5,1
영동군,36.175047,127.783423,6.7,100,29.9,51.2,45.7,88.9,9.9,10,19,3.3,1.8,45.5,28.7,37.1,0
예산군,36.6808995,126.8447382,10.1,63.9,37.2,41.6,56.2,98.5,74.5,44.7,28.4,17.1,-114.5,37.1,30.8,33.9,0
옥천군,36.3064369,127.5714191,37.6,76.1,29.9,36.6,70.5,100,-65.2,26.9,10.4,-10.8,-112.7,47.9,7,27.4,0
음성군,36.940282,127.690487,38.2,36.9,16.2,18.5,36.6,80.3,14.2,-9,10.5,-21.8,-169.1,30.4,-5,12.7,1
제천시,37.132646,128.191037,17.2,25.3,27.8,8.7,-8.7,49.5,-16.3,-9.1,3.1,38.6,-178.2,23.4,-14.1,4.7,1
증평군,36.785345,127.581507,19.5,86,40.4,-2.9,64.7,8.6,-144,26.9,-3,8.6,-380,48.6,-52.6,-2,1
진천군,36.85542,127.435602,14.4,44.4,41.2,6.9,52.1,100,39.7,30.5,7.4,26.6,-229.1,33.3,4.3,18.8,0
천안시,36.815147,127.113892,9.2,-327.1,-13.7,-2.1,20,-318.2,69.5,-24.6,0.5,9.8,-41.8,-110.5,-35.9,-73.2,1
청양군,36.459151,126.802238,41.8,90.4,42.8,48.5,72.9,58.1,18.4,34,50.8,2.3,-101.8,58.3,22.9,40.6,0
청주시,36.6424987,127.488975,15.4,-337.8,-29.8,0.4,-6.2,-313.1,59.6,-8.3,-0.1,-13.7,-87.3,-117.4,-46.1,-81.7,1
충주시,36.991105,127.926012,20.8,-20.7,14.1,6.7,-10.3,81.8,39.7,-9.9,5.2,-5.1,-47.3,4.7,7.6,6.2,1
태안군,36.74561,126.297913,28.1,64.9,6.9,34.4,41.1,61.6,97.9,47.4,9.9,-4.1,-172.7,33.3,14.4,23.9,0
홍성군,36.601324,126.660775,25.8,52.1,13.5,24.9,88.5,100,63.8,-14.3,6.7,6.7,-181.8,30.5,11.8,21.1,0
계룡시,36.274554,127.248633,4.6,89,-24,24.8,22.7,77.2,-29.4,14.7,0.1,-26.2,-21.8,23.2,7.8,15.5,0
공주시,36.446556,127.11904,28.4,-1.6,30.6,15.5,-20.9,40.9,-10.7,-0.9,11.5,-16.9,21.8,19.1,5,12.1,0
